period,zone_id,var_id,value
1981,E06000001,P01001,94471
1981,E06000001,P01002,48033
1981,E06000001,P01003,46438
1981,E06000001,P02002,5953
1981,E06000001,P02003,6543
1981,E06000001,P02004,8022
1981,E06000001,P02005,8938
1981,E06000001,P02006,7420
1981,E06000001,P02007,6278
1981,E06000001,P02008,6710
1981,E06000001,P02009,5210
1981,E06000001,P02010,5517
1981,E06000001,P02011,5690
1981,E06000001,P02012,5721
1981,E06000001,P02013,5785
1981,E06000001,P02014,4630
1981,E06000001,P02015,4077
1981,E06000001,P02016,3416
1981,E06000001,P02017,2513
1981,E06000001,P02018,1308
1981,E06000001,P02021,750
1981,E06000001,P03002,2922
1981,E06000001,P03003,3059
1981,E06000001,P03004,3964
1981,E06000001,P03005,4469
1981,E06000001,P03006,3573
1981,E06000001,P03007,3132
1981,E06000001,P03008,3302
1981,E06000001,P03009,2531
1981,E06000001,P03010,2767
1981,E06000001,P03011,2838
1981,E06000001,P03012,2813
1981,E06000001,P03013,2931
1981,E06000001,P03014,2428
1981,E06000001,P03015,2240
1981,E06000001,P03016,1931
1981,E06000001,P03017,1645
1981,E06000001,P03018,906
1981,E06000001,P03021,584
1981,E06000001,P03022,3031
1981,E06000001,P03023,3484
1981,E06000001,P03024,4058
1981,E06000001,P03025,4469
1981,E06000001,P03026,3847
1981,E06000001,P03027,3146
1981,E06000001,P03028,3408
1981,E06000001,P03029,2679
1981,E06000001,P03030,2750
1981,E06000001,P03031,2852
1981,E06000001,P03032,2908
1981,E06000001,P03033,2854
1981,E06000001,P03034,2202
1981,E06000001,P03035,1837
1981,E06000001,P03036,1485
1981,E06000001,P03037,868
1981,E06000001,P03038,402
1981,E06000001,P03041,166
1981,E06000001,P04001,1008
1981,E06000002,P01001,149200
1981,E06000002,P01002,75800
1981,E06000002,P01003,73400
1981,E06000002,P02002,10566
1981,E06000002,P02003,10827
1981,E06000002,P02004,12857
1981,E06000002,P02005,14237
1981,E06000002,P02006,12967
1981,E06000002,P02007,10953
1981,E06000002,P02008,10432
1981,E06000002,P02009,7933
1981,E06000002,P02010,8202
1981,E06000002,P02011,8243
1981,E06000002,P02012,8783
1981,E06000002,P02013,8944
1981,E06000002,P02014,7137
1981,E06000002,P02015,5991
1981,E06000002,P02016,4839
1981,E06000002,P02017,3384
1981,E06000002,P02018,1855
1981,E06000002,P02021,1041
1981,E06000002,P03002,5202
1981,E06000002,P03003,5201
1981,E06000002,P03004,6442
1981,E06000002,P03005,7049
1981,E06000002,P03006,6332
1981,E06000002,P03007,5439
1981,E06000002,P03008,5054
1981,E06000002,P03009,3899
1981,E06000002,P03010,4122
1981,E06000002,P03011,4155
1981,E06000002,P03012,4285
1981,E06000002,P03013,4591
1981,E06000002,P03014,3621
1981,E06000002,P03015,3285
1981,E06000002,P03016,2841
1981,E06000002,P03017,2157
1981,E06000002,P03018,1302
1981,E06000002,P03021,807
1981,E06000002,P03022,5364
1981,E06000002,P03023,5626
1981,E06000002,P03024,6415
1981,E06000002,P03025,7188
1981,E06000002,P03026,6635
1981,E06000002,P03027,5514
1981,E06000002,P03028,5378
1981,E06000002,P03029,4034
1981,E06000002,P03030,4080
1981,E06000002,P03031,4088
1981,E06000002,P03032,4498
1981,E06000002,P03033,4353
1981,E06000002,P03034,3516
1981,E06000002,P03035,2706
1981,E06000002,P03036,1998
1981,E06000002,P03037,1227
1981,E06000002,P03038,553
1981,E06000002,P03041,234
1981,E06000002,P04001,2769
1981,E06000003,P01001,150283
1981,E06000003,P01002,76123
1981,E06000003,P01003,74160
1981,E06000003,P02002,9828
1981,E06000003,P02003,11129
1981,E06000003,P02004,13991
1981,E06000003,P02005,13821
1981,E06000003,P02006,11230
1981,E06000003,P02007,9977
1981,E06000003,P02008,11555
1981,E06000003,P02009,9843
1981,E06000003,P02010,9208
1981,E06000003,P02011,8298
1981,E06000003,P02012,8497
1981,E06000003,P02013,8388
1981,E06000003,P02014,7207
1981,E06000003,P02015,6241
1981,E06000003,P02016,4851
1981,E06000003,P02017,3329
1981,E06000003,P02018,1839
1981,E06000003,P02021,1056
1981,E06000003,P03002,4793
1981,E06000003,P03003,5361
1981,E06000003,P03004,6817
1981,E06000003,P03005,6812
1981,E06000003,P03006,5496
