LAD,LADn,UTLA,UTLAn,RGN,RGNn,CTRY,CTRYn,x_lon,y_lat,area
E06000015,Derby,E06000015,Derby,E12000004,East Midlands,E92000001,England,-1.47189,52.91464,78.0222661156921
E07000032,Amber Valley,E10000007,Derbyshire,E12000004,East Midlands,E92000001,England,-1.46219,53.02884,265.411700613861
E07000033,Bolsover,E10000007,Derbyshire,E12000004,East Midlands,E92000001,England,-1.27228,53.23875,160.346236211639
E07000034,Chesterfield,E10000007,Derbyshire,E12000004,East Midlands,E92000001,England,-1.40115,53.25575,66.0255063756561
E07000035,Derbyshire Dales,E10000007,Derbyshire,E12000004,East Midlands,E92000001,England,-1.70711,53.12326,795.432888864449
E07000036,Erewash,E10000007,Derbyshire,E12000004,East Midlands,E92000001,England,-1.3509,52.9382,109.630993976608
E07000037,High Peak,E10000007,Derbyshire,E12000004,East Midlands,E92000001,England,-1.84398,53.38569,540.226457258606
E07000038,North East Derbyshire,E10000007,Derbyshire,E12000004,East Midlands,E92000001,England,-1.44253,53.16243,275.66441394783
E07000039,South Derbyshire,E10000007,Derbyshire,E12000004,East Midlands,E92000001,England,-1.5348,52.8249,338.093721023193
E06000016,Leicester,E06000016,Leicester,E12000004,East Midlands,E92000001,England,-1.1304,52.63592,73.3765443447113
E07000129,Blaby,E10000018,Leicestershire,E12000004,East Midlands,E92000001,England,-1.19887,52.57706,130.476234387962
E07000130,Charnwood,E10000018,Leicestershire,E12000004,East Midlands,E92000001,England,-1.13694,52.7399,279.022354608215
E07000131,Harborough,E10000018,Leicestershire,E12000004,East Midlands,E92000001,England,-0.90229,52.53766,592.728077451286
E07000132,Hinckley and Bosworth,E10000018,Leicestershire,E12000004,East Midlands,E92000001,England,-1.41755,52.60877,297.357188111755
E07000133,Melton,E10000018,Leicestershire,E12000004,East Midlands,E92000001,England,-0.8544,52.80329,481.364551025803
E07000134,North West Leicestershire,E10000018,Leicestershire,E12000004,East Midlands,E92000001,England,-1.42209,52.7425,279.328062130035
E07000135,Oadby and Wigston,E10000018,Leicestershire,E12000004,East Midlands,E92000001,England,-1.093,52.58875,23.5172563746338
E07000136,Boston,E10000019,Lincolnshire,E12000004,East Midlands,E92000001,England,-0.11218,52.97794,363.498488270523
E07000137,East Lindsey,E10000019,Lincolnshire,E12000004,East Midlands,E92000001,England,0.020516,53.26446,1766.5803924355
E07000138,Lincoln,E10000019,Lincolnshire,E12000004,East Midlands,E92000001,England,-0.55848,53.21921,35.6509069807739
E07000139,North Kesteven,E10000019,Lincolnshire,E12000004,East Midlands,E92000001,England,-0.4767,53.08058,922.440524125153
E07000140,South Holland,E10000019,Lincolnshire,E12000004,East Midlands,E92000001,England,-0.03057,52.78758,749.572440554947
E07000141,South Kesteven,E10000019,Lincolnshire,E12000004,East Midlands,E92000001,England,-0.49565,52.84885,942.602124015976
E07000142,West Lindsey,E10000019,Lincolnshire,E12000004,East Midlands,E92000001,England,-0.50774,53.40044,1155.67645339552
E06000061,North Northamptonshire,E06000061,North Northamptonshire,E12000004,East Midlands,E92000001,England,-0.62504,52.42546,986.593271768242
